image_id,angry,disgust,fear,happy,neutral,sad,surprise,entropy
1,0.019230769230769232,0.0,0.0,0.0,0.6153846153846154,0.36538461538461536,0.0,0.7426304590861654
2,0.019230769230769232,0.07692307692307693,0.019230769230769232,0.019230769230769232,0.6153846153846154,0.09615384615384616,0.15384615384615385,1.2371774064721965
3,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.6530612244897959,0.0,0.2857142857142857,0.874466185779915
4,0.0,0.058823529411764705,0.0196078431372549,0.0,0.5882352941176471,0.27450980392156865,0.058823529411764705,1.0774256759304641
5,0.1,0.08,0.06,0.0,0.3,0.44,0.02,1.4017851881667363
6,0.15384615384615385,0.057692307692307696,0.057692307692307696,0.019230769230769232,0.5384615384615384,0.0,0.17307692307692307,1.330013842689523
7,0.14,0.32,0.02,0.0,0.26,0.02,0.24,1.4891027645545525
8,0.24,0.02,0.02,0.0,0.38,0.0,0.34,1.2334660604166652
9,0.11320754716981132,0.07547169811320754,0.05660377358490566,0.0,0.7358490566037735,0.0,0.018867924528301886,0.9048112470444156
10,0.0,0.0,0.0,0.7708333333333334,0.20833333333333334,0.020833333333333332,0.0,0.6080798922042084
11,0.09803921568627451,0.0196078431372549,0.0392156862745098,0.0,0.35294117647058826,0.0196078431372549,0.47058823529411764,1.2311694073562462
12,0.09803921568627451,0.09803921568627451,0.058823529411764705,0.0,0.49019607843137253,0.058823529411764705,0.19607843137254902,1.457633487469519
13,0.06382978723404255,0.02127659574468085,0.0,0.06382978723404255,0.6382978723404256,0.19148936170212766,0.02127659574468085,1.1181770404781588
14,0.1875,0.14583333333333334,0.020833333333333332,0.125,0.4166666666666667,0.020833333333333332,0.08333333333333333,1.5877265948591224
15,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.0,0.813953488372093,0.0,0.06976744186046512,0.7261859821965022
16,0.0625,0.0,0.10416666666666667,0.0,0.4166666666666667,0.0,0.4166666666666667,1.1384443990259228
17,0.19148936170212766,0.0425531914893617,0.06382978723404255,0.0,0.23404255319148937,0.0,0.46808510638297873,1.3217021889905858
18,0.42,0.04,0.02,0.0,0.52,0.0,0.0,0.9113874945907399
19,0.0851063829787234,0.0,0.02127659574468085,0.1702127659574468,0.6808510638297872,0.0425531914893617,0.0,0.9890720053562417
20,0.23076923076923078,0.17307692307692307,0.11538461538461539,0.038461538461538464,0.38461538461538464,0.0,0.057692307692307696,1.5485276703688435
21,0.76,0.02,0.0,0.0,0.12,0.0,0.1,0.7715025964853162
22,0.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,0.17884491271684755
23,0.32653061224489793,0.24489795918367346,0.10204081632653061,0.0,0.10204081632653061,0.1836734693877551,0.04081632653061224,1.6176163382171702
24,0.1836734693877551,0.02040816326530612,0.02040816326530612,0.0,0.12244897959183673,0.0,0.6530612244897959,1.0055115858456152
25,0.02,0.06,0.0,0.08,0.74,0.1,0.0,0.902179672618332
26,0.20408163265306123,0.0,0.1836734693877551,0.0,0.32653061224489793,0.0,0.2857142857142857,1.3589816390000848
