image_id,kl_divergence_retinaface,kl_divergence_yolov8,kl_divergence_mtcnn
1,0.0651105408622319,0.5051558557293938,0.8919234854609877
2,4.725550956727037,3.2432055384337484,2.916131196472721
3,4.205280479276636,1.4280080761446987,2.0695400419796552
4,1.663932610668878,1.6987525976707205,1.8699387678049475
5,3.0283967705207555,2.307052469724012,2.967738011774684
6,5.977027481578139,5.861117696209011,6.0396741857881
7,7.683466048162728,8.65039355005792,6.407471666705147
8,2.6094719223869527,1.6894959232734081,1.8619739600505203
9,4.32333110453592,4.848339680746024,4.218237216556304
10,8.382713872520112,7.4950838113452996,8.188980676542371
11,3.2234949500327463,1.6085655827362573,4.3565305710263775
12,10.584627406476091,5.928134501844661,10.235084969745635
13,4.631471940638096,6.590665347310388,3.075945745388331
14,7.119019311472959,9.56114399472672,8.60179516016023
15,0.9311262783304108,1.8009031091165195,0.9100554908678866
16,14.358521318906703,6.431826441972977,5.160128052891038
17,4.0196301547587,2.09383237881444,3.353913909227727
18,5.049023215601151,3.467595238546632,4.249272362434638
19,9.526614890042946,6.676724098966277,1.5231165636424413
20,4.516593802667728,6.8274868128924595,7.51048121080049
21,10.250554704904339,1.4214421387698832,4.286315681050083
22,10.855460916748905,1.2499332712067444,6.832219218252706
23,6.037535091779144,10.420791404266767,9.493640857079814
24,0.8969916068249544,0.4267885951397386,0.8352598860013245
25,5.617144511651132,5.510928437388211,1.5644240151493403
26,9.08316238668672,10.728115264125684,2.9271434909702867
27,5.235091203397246,4.621143428670788,6.872258911962852
28,1.2987024920922305,0.5873780343175705,1.3952783568607834
29,4.923261054583003,5.595567110337593,5.716824819998742
30,7.18904806043838,3.726767947517867,5.3321594028453205
31,3.656806347564518,4.307400975962323,6.587020980095778
32,2.625197446755966,2.0334259310432548,2.1750630943029927
33,0.1662522842695122,0.0775038025690466,0.10526078176606088
34,16.053752458967306,12.16146668649417,14.348595546045985
35,7.175485788625405,5.783926182336237,6.985553409248527
36,2.122707493259999,3.3398966973579687,3.100422906514023
37,2.4907420702834115,2.0680199587046255,0.9938424659580355
38,6.050911008183642,4.116273044116197,4.798096790800293
39,3.321702040596733,2.7017589865879392,3.6037766758993963
40,1.9323758618248503,3.1891423552799285,1.6959018934378318
41,5.1200862646536205,5.283968165329007,5.916822204905582
42,3.0939596887110064,2.373057474599698,3.817554997010192
43,5.223628467546958,6.59524202387888,2.6107370756505865
44,7.934005552808792,7.125942548870595,8.201970833191535
45,4.10370650045855,4.838847886799055,3.1955269938277273
46,4.3852421501532755,3.2511030717790033,3.4115984818031704
47,1.8854642334696046,0.9788469629509988,2.4140515451831357
48,7.654453244647859,4.033903342710303,2.332916129987888
49,1.6299504121839687,3.478183394153922,3.6155308133053965
50,3.789998865816394,1.1813792602868982,1.8652390798657112
51,0.9120734678954131,1.7986389637754827,5.126516208353623
52,0.0019399525902207516,3.869084848115442e-06,0.029498178178501814
53,4.738415501178271,1.706427969918151,4.296742714768543
54,2.698412038384773,1.0169425568258357,3.4749370540426385
55,7.948514648056971,8.117913488428053,3.207078881273861
56,4.39170778478411,3.9978837357654813,5.812922194101573
57,4.137941366665714,5.606478338507315,7.5767924704602425
58,6.0686956976548415e-05,0.0006845111421385739,0.0035289042966436344
59,0.11287440159088752,0.17437249639885924,0.16833650843613157
60,6.862671140956872,7.38513691629568,6.774578071422554
61,6.963775029618543,7.651661148006452,7.623725175613988
62,3.964226279675316,5.095834091454598,2.9256005144684907
